date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,latitude,longitude
2024-08-21 00:00:00,26.5,13.6,156.0,3.3,3.7,52.0,19.0,27.93870841,70.7066141
2024-08-21 01:00:00,33.3,14.1,161.0,3.2,4.3,51.0,33.0,27.93870841,70.7066141
2024-08-21 02:00:00,38.5,14.4,167.0,3.0,5.2,51.0,53.0,27.93870841,70.7066141
2024-08-21 03:00:00,48.5,15.0,170.0,2.7,5.7,53.0,76.0,27.93870841,70.7066141
2024-08-21 04:00:00,60.5,16.1,166.0,2.1,5.5,62.0,100.0,27.93870841,70.7066141
2024-08-21 05:00:00,76.4,18.0,157.0,1.4,4.9,73.0,128.0,27.93870841,70.7066141
2024-08-21 06:00:00,83.6,17.8,150.0,0.8,4.3,82.0,164.0,27.93870841,70.7066141
2024-08-21 07:00:00,97.1,17.3,145.0,0.5,3.6,85.0,213.0,27.93870841,70.7066141
2024-08-21 08:00:00,117.8,17.6,142.0,0.4,2.8,84.0,270.0,27.93870841,70.7066141
2024-08-21 09:00:00,141.1,18.6,139.0,0.4,2.2,83.0,323.0,27.93870841,70.7066141
2024-08-21 10:00:00,161.6,20.0,136.0,0.3,1.8,82.0,379.0,27.93870841,70.7066141
2024-08-21 11:00:00,180.2,21.4,133.0,0.2,1.6,81.0,432.0,27.93870841,70.7066141
2024-08-21 12:00:00,236.1,25.7,132.0,0.4,1.5,74.0,562.0,27.93870841,70.7066141
2024-08-21 13:00:00,237.0,25.3,135.0,1.0,1.4,68.0,502.0,27.93870841,70.7066141
2024-08-21 14:00:00,192.8,26.0,139.0,1.9,1.4,60.0,417.0,27.93870841,70.7066141
2024-08-21 15:00:00,159.3,25.6,144.0,3.0,1.3,52.0,348.0,27.93870841,70.7066141
2024-08-21 16:00:00,146.7,25.1,151.0,4.3,1.3,46.0,312.0,27.93870841,70.7066141
2024-08-21 17:00:00,136.9,24.7,160.0,5.8,1.3,41.0,290.0,27.93870841,70.7066141
2024-08-21 18:00:00,129.0,24.4,170.0,7.4,1.4,36.0,266.0,27.93870841,70.7066141
2024-08-21 19:00:00,116.9,24.1,182.0,9.2,1.4,32.0,233.0,27.93870841,70.7066141
2024-08-21 20:00:00,103.1,24.0,195.0,11.1,1.5,28.0,198.0,27.93870841,70.7066141
2024-08-21 21:00:00,91.7,23.9,203.0,12.3,1.6,25.0,165.0,27.93870841,70.7066141
2024-08-21 22:00:00,80.3,23.5,205.0,12.5,1.8,22.0,132.0,27.93870841,70.7066141
2024-08-21 23:00:00,68.0,22.9,202.0,11.9,2.0,19.0,101.0,27.93870841,70.7066141
2024-08-22 00:00:00,28.8,16.2,195.0,10.5,1.6,30.0,17.0,27.93870841,70.7066141
