date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,latitude,longitude
2024-08-21 00:00:00,71.9,30.5,542.0,34.2,3.1,6.0,82.0,29.59442582,71.43677504
2024-08-21 01:00:00,58.1,26.2,505.0,28.4,3.1,17.0,67.0,29.59442582,71.43677504
2024-08-21 02:00:00,53.0,26.7,451.0,20.3,3.2,33.0,47.0,29.59442582,71.43677504
2024-08-21 03:00:00,46.8,25.3,398.0,13.3,3.1,51.0,32.0,29.59442582,71.43677504
2024-08-21 04:00:00,43.2,25.4,347.0,8.5,2.8,73.0,25.0,29.59442582,71.43677504
2024-08-21 05:00:00,40.5,23.5,297.0,4.9,2.3,98.0,23.0,29.59442582,71.43677504
2024-08-21 06:00:00,39.5,21.3,256.0,2.4,1.9,114.0,27.0,29.59442582,71.43677504
2024-08-21 07:00:00,41.2,17.9,228.0,1.3,1.6,115.0,40.0,29.59442582,71.43677504
2024-08-21 08:00:00,45.2,14.8,210.0,1.4,1.3,109.0,59.0,29.59442582,71.43677504
2024-08-21 09:00:00,46.6,14.8,201.0,1.8,1.2,102.0,73.0,29.59442582,71.43677504
2024-08-21 10:00:00,45.6,15.4,194.0,2.0,1.3,99.0,78.0,29.59442582,71.43677504
2024-08-21 11:00:00,53.1,17.9,195.0,2.6,1.6,97.0,77.0,29.59442582,71.43677504
2024-08-21 12:00:00,53.7,21.8,206.0,3.2,1.4,94.0,65.0,29.59442582,71.43677504
2024-08-21 13:00:00,54.0,23.3,278.0,8.1,3.1,88.0,56.0,29.59442582,71.43677504
2024-08-21 14:00:00,60.3,32.2,378.0,14.8,5.6,79.0,43.0,29.59442582,71.43677504
2024-08-21 15:00:00,65.0,37.8,451.0,19.7,8.0,72.0,32.0,29.59442582,71.43677504
2024-08-21 16:00:00,65.2,39.9,471.0,20.6,10.5,70.0,25.0,29.59442582,71.43677504
2024-08-21 17:00:00,65.4,41.6,465.0,19.7,13.1,70.0,20.0,29.59442582,71.43677504
2024-08-21 18:00:00,63.6,41.4,459.0,19.5,14.6,67.0,16.0,29.59442582,71.43677504
2024-08-21 19:00:00,62.2,40.6,462.0,20.9,14.5,59.0,15.0,29.59442582,71.43677504
2024-08-21 20:00:00,61.7,40.4,466.0,23.1,13.4,48.0,15.0,29.59442582,71.43677504
2024-08-21 21:00:00,61.5,40.2,473.0,25.3,12.3,38.0,16.0,29.59442582,71.43677504
2024-08-21 22:00:00,61.2,39.9,489.0,28.4,11.1,27.0,16.0,29.59442582,71.43677504
2024-08-21 23:00:00,60.8,39.7,509.0,31.6,9.8,18.0,16.0,29.59442582,71.43677504
2024-08-22 00:00:00,58.1,37.3,464.0,30.3,9.4,21.0,18.0,29.59442582,71.43677504
2024-08-22 01:00:00,60.8,38.0,454.0,26.0,10.3,34.0,24.0,29.59442582,71.43677504
2024-08-22 02:00:00,64.5,39.0,439.0,19.9,11.6,52.0,33.0,29.59442582,71.43677504
2024-08-22 03:00:00,68.5,38.1,416.0,14.3,13.0,74.0,40.0,29.59442582,71.43677504
2024-08-22 04:00:00,65.7,33.5,377.0,9.8,15.1,102.0,44.0,29.59442582,71.43677504
2024-08-22 05:00:00,61.2,30.0,331.0,5.9,17.3,134.0,46.0,29.59442582,71.43677504
2024-08-22 06:00:00,58.9,29.0,294.0,3.1,18.1,156.0,47.0,29.59442582,71.43677504
2024-08-22 07:00:00,55.4,27.7,275.0,1.9,16.2,163.0,45.0,29.59442582,71.43677504
2024-08-22 08:00:00,53.1,27.0,267.0,1.8,12.9,160.0,42.0,29.59442582,71.43677504
2024-08-22 09:00:00,51.8,26.3,264.0,2.1,10.4,157.0,39.0,29.59442582,71.43677504
2024-08-22 10:00:00,51.8,26.4,259.0,2.2,9.8,158.0,37.0,29.59442582,71.43677504
2024-08-22 11:00:00,52.7,27.8,259.0,2.7,10.0,158.0,35.0,29.59442582,71.43677504
2024-08-22 12:00:00,40.3,20.8,244.0,4.1,3.3,114.0,30.0,29.59442582,71.43677504
2024-08-22 13:00:00,42.0,22.4,302.0,7.5,4.1,105.0,27.0,29.59442582,71.43677504
2024-08-22 14:00:00,48.2,28.6,388.0,12.4,5.2,92.0,23.0,29.59442582,71.43677504
2024-08-22 15:00:00,55.5,33.9,490.0,18.5,6.3,78.0,20.0,29.59442582,71.43677504
2024-08-22 16:00:00,65.4,39.9,621.0,26.0,7.3,65.0,21.0,29.59442582,71.43677504
2024-08-22 17:00:00,76.6,47.1,768.0,34.6,8.1,51.0,24.0,29.59442582,71.43677504
2024-08-22 18:00:00,84.5,52.6,882.0,42.9,8.7,38.0,26.0,29.59442582,71.43677504
2024-08-22 19:00:00,87.1,53.8,954.0,52.7,8.8,24.0,27.0,29.59442582,71.43677504
2024-08-22 20:00:00,88.2,54.4,993.0,62.3,8.5,12.0,29.0,29.59442582,71.43677504
2024-08-22 21:00:00,87.5,54.1,975.0,65.1,8.2,7.0,28.0,29.59442582,71.43677504
