date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,latitude,longitude
2024-08-21 00:00:00,49.5,29.3,324.0,8.8,12.4,82.0,26.0,31.74578375,73.05094262
2024-08-21 01:00:00,48.8,29.8,344.0,10.5,11.8,79.0,27.0,31.74578375,73.05094262
2024-08-21 02:00:00,52.9,30.4,369.0,12.7,11.0,74.0,29.0,31.74578375,73.05094262
2024-08-21 03:00:00,52.9,30.2,379.0,13.4,10.1,76.0,32.0,31.74578375,73.05094262
2024-08-21 04:00:00,51.2,26.5,358.0,11.3,9.3,88.0,36.0,31.74578375,73.05094262
2024-08-21 05:00:00,50.1,24.7,322.0,7.8,8.5,106.0,41.0,31.74578375,73.05094262
2024-08-21 06:00:00,47.0,22.9,292.0,5.0,7.8,121.0,43.0,31.74578375,73.05094262
2024-08-21 07:00:00,43.8,21.3,276.0,3.7,7.1,132.0,41.0,31.74578375,73.05094262
2024-08-21 08:00:00,39.9,19.7,266.0,3.2,6.4,141.0,36.0,31.74578375,73.05094262
2024-08-21 09:00:00,38.8,19.3,264.0,3.4,6.0,147.0,33.0,31.74578375,73.05094262
2024-08-21 10:00:00,39.6,20.0,259.0,3.4,6.0,154.0,33.0,31.74578375,73.05094262
2024-08-21 11:00:00,40.3,20.6,263.0,4.0,6.3,158.0,33.0,31.74578375,73.05094262
2024-08-21 12:00:00,43.2,20.9,309.0,8.3,7.1,140.0,39.0,31.74578375,73.05094262
2024-08-21 13:00:00,48.2,24.7,517.0,23.4,8.0,115.0,38.0,31.74578375,73.05094262
2024-08-21 14:00:00,64.7,37.7,810.0,44.5,9.3,80.0,36.0,31.74578375,73.05094262
2024-08-21 15:00:00,85.4,51.5,1066.0,61.0,10.3,50.0,35.0,31.74578375,73.05094262
2024-08-21 16:00:00,98.3,60.8,1257.0,69.2,10.8,32.0,35.0,31.74578375,73.05094262
2024-08-21 17:00:00,105.2,65.7,1412.0,73.0,11.1,19.0,36.0,31.74578375,73.05094262
2024-08-21 18:00:00,111.3,69.2,1496.0,73.6,11.1,11.0,37.0,31.74578375,73.05094262
2024-08-21 19:00:00,114.8,70.3,1487.0,71.2,10.7,8.0,38.0,31.74578375,73.05094262
2024-08-21 20:00:00,115.5,69.8,1408.0,65.6,10.1,11.0,39.0,31.74578375,73.05094262
2024-08-21 21:00:00,101.5,61.5,1288.0,57.9,9.4,15.0,40.0,31.74578375,73.05094262
2024-08-21 22:00:00,84.8,51.1,1112.0,46.8,8.6,21.0,40.0,31.74578375,73.05094262
