date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,latitude,longitude
2024-08-21 00:00:00,41.1,25.4,256.0,3.2,3.2,67.0,18.0,30.97167267,70.26304673
2024-08-21 01:00:00,44.5,25.8,242.0,2.7,3.2,77.0,22.0,30.97167267,70.26304673
2024-08-21 02:00:00,44.9,25.3,223.0,1.9,3.1,91.0,28.0,30.97167267,70.26304673
2024-08-21 03:00:00,48.1,26.3,209.0,1.3,2.9,103.0,32.0,30.97167267,70.26304673
2024-08-21 04:00:00,45.8,25.0,204.0,1.0,2.4,110.0,32.0,30.97167267,70.26304673
2024-08-21 05:00:00,41.2,22.4,203.0,0.8,1.8,114.0,30.0,30.97167267,70.26304673
2024-08-21 06:00:00,42.3,22.4,202.0,0.7,1.3,117.0,31.0,30.97167267,70.26304673
2024-08-21 07:00:00,41.9,19.7,199.0,0.7,0.9,117.0,39.0,30.97167267,70.26304673
2024-08-21 08:00:00,47.8,19.4,195.0,0.7,0.6,116.0,49.0,30.97167267,70.26304673
2024-08-21 09:00:00,44.6,19.2,193.0,0.7,0.4,114.0,54.0,30.97167267,70.26304673
2024-08-21 10:00:00,38.5,16.9,190.0,0.5,0.1,114.0,49.0,30.97167267,70.26304673
2024-08-21 11:00:00,30.6,13.9,188.0,0.4,0.0,114.0,38.0,30.97167267,70.26304673
2024-08-21 12:00:00,31.1,15.1,190.0,1.0,0.3,113.0,30.0,30.97167267,70.26304673
2024-08-21 13:00:00,34.0,14.6,189.0,1.0,0.3,112.0,31.0,30.97167267,70.26304673
2024-08-21 14:00:00,31.8,14.4,189.0,1.0,0.3,111.0,32.0,30.97167267,70.26304673
2024-08-21 15:00:00,31.5,14.9,197.0,1.7,0.7,107.0,32.0,30.97167267,70.26304673
2024-08-21 16:00:00,29.7,14.8,220.0,3.5,1.9,99.0,28.0,30.97167267,70.26304673
2024-08-21 17:00:00,28.4,15.7,251.0,5.8,3.4,90.0,23.0,30.97167267,70.26304673
2024-08-21 18:00:00,29.8,16.9,274.0,7.7,4.6,81.0,18.0,30.97167267,70.26304673
2024-08-21 19:00:00,29.5,16.8,282.0,8.7,5.2,75.0,16.0,30.97167267,70.26304673
