date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,latitude,longitude
2024-08-21 00:00:00,45.3,25.0,285.0,14.0,2.6,54.0,32.0,31.79910462,71.10524571
2024-08-21 01:00:00,48.9,26.3,295.0,11.9,3.0,63.0,37.0,31.79910462,71.10524571
2024-08-21 02:00:00,53.4,26.9,309.0,8.9,3.5,76.0,43.0,31.79910462,71.10524571
2024-08-21 03:00:00,53.1,26.5,314.0,6.4,3.8,88.0,47.0,31.79910462,71.10524571
2024-08-21 04:00:00,49.7,25.9,303.0,4.8,3.8,98.0,47.0,31.79910462,71.10524571
2024-08-21 05:00:00,49.6,26.2,283.0,3.6,3.7,107.0,44.0,31.79910462,71.10524571
2024-08-21 06:00:00,51.0,26.5,265.0,2.7,3.4,114.0,40.0,31.79910462,71.10524571
2024-08-21 07:00:00,46.0,24.8,252.0,2.1,3.0,119.0,36.0,31.79910462,71.10524571
2024-08-21 08:00:00,43.3,23.9,242.0,1.9,2.5,123.0,31.0,31.79910462,71.10524571
2024-08-21 09:00:00,41.4,22.9,235.0,1.8,2.0,125.0,27.0,31.79910462,71.10524571
2024-08-21 10:00:00,40.0,21.9,223.0,1.1,1.6,126.0,26.0,31.79910462,71.10524571
2024-08-21 11:00:00,40.9,22.4,215.0,0.6,1.2,126.0,28.0,31.79910462,71.10524571
2024-08-21 12:00:00,36.4,16.6,208.0,3.2,1.5,109.0,39.0,31.79910462,71.10524571
2024-08-21 13:00:00,35.6,16.5,256.0,7.6,1.7,98.0,34.0,31.79910462,71.10524571
2024-08-21 14:00:00,35.7,19.6,323.0,13.7,2.0,83.0,27.0,31.79910462,71.10524571
2024-08-21 15:00:00,40.4,23.5,381.0,18.6,2.3,70.0,22.0,31.79910462,71.10524571
2024-08-21 16:00:00,46.2,27.5,422.0,20.8,2.5,62.0,19.0,31.79910462,71.10524571
2024-08-21 17:00:00,47.7,29.1,454.0,21.8,2.6,57.0,17.0,31.79910462,71.10524571
2024-08-21 18:00:00,43.1,26.5,473.0,22.6,2.7,52.0,16.0,31.79910462,71.10524571
2024-08-21 19:00:00,40.4,24.9,469.0,23.3,2.7,48.0,16.0,31.79910462,71.10524571
2024-08-21 20:00:00,40.5,24.6,452.0,24.0,2.7,46.0,17.0,31.79910462,71.10524571
2024-08-21 21:00:00,41.6,24.9,442.0,25.6,2.7,42.0,18.0,31.79910462,71.10524571
2024-08-21 22:00:00,42.5,25.2,452.0,30.4,2.8,34.0,20.0,31.79910462,71.10524571
2024-08-21 23:00:00,43.8,25.8,470.0,36.2,3.0,25.0,23.0,31.79910462,71.10524571
2024-08-22 00:00:00,36.0,22.0,397.0,23.8,2.8,39.0,14.0,31.79910462,71.10524571
2024-08-22 01:00:00,35.3,21.8,396.0,20.8,2.9,47.0,13.0,31.79910462,71.10524571
2024-08-22 02:00:00,35.2,22.3,393.0,16.5,3.0,59.0,11.0,31.79910462,71.10524571
2024-08-22 03:00:00,33.4,21.0,378.0,12.3,3.0,74.0,11.0,31.79910462,71.10524571
2024-08-22 04:00:00,31.4,19.2,341.0,8.4,2.7,94.0,13.0,31.79910462,71.10524571
2024-08-22 05:00:00,33.3,19.2,292.0,4.6,2.3,117.0,17.0,31.79910462,71.10524571
2024-08-22 06:00:00,34.1,19.0,254.0,1.9,1.9,134.0,20.0,31.79910462,71.10524571
2024-08-22 07:00:00,32.7,17.7,238.0,0.9,1.6,139.0,22.0,31.79910462,71.10524571
2024-08-22 08:00:00,32.1,17.0,234.0,1.0,1.4,137.0,24.0,31.79910462,71.10524571
2024-08-22 09:00:00,32.7,16.6,233.0,1.3,1.2,135.0,26.0,31.79910462,71.10524571
2024-08-22 10:00:00,34.8,16.8,226.0,0.9,1.1,137.0,27.0,31.79910462,71.10524571
2024-08-22 11:00:00,35.4,17.2,223.0,0.7,1.1,138.0,28.0,31.79910462,71.10524571
2024-08-22 12:00:00,52.5,23.6,228.0,2.4,1.1,125.0,53.0,31.79910462,71.10524571
2024-08-22 13:00:00,51.1,24.2,287.0,7.6,1.4,109.0,47.0,31.79910462,71.10524571
2024-08-22 14:00:00,56.2,30.2,370.0,14.9,1.9,87.0,40.0,31.79910462,71.10524571
2024-08-22 15:00:00,58.9,32.9,444.0,21.2,2.3,68.0,33.0,31.79910462,71.10524571
2024-08-22 16:00:00,61.0,35.2,501.0,25.1,2.6,54.0,29.0,31.79910462,71.10524571
2024-08-22 17:00:00,61.9,36.3,548.0,28.0,2.9,43.0,26.0,31.79910462,71.10524571
2024-08-22 18:00:00,59.8,35.7,580.0,30.5,3.2,34.0,24.0,31.79910462,71.10524571
2024-08-22 19:00:00,55.9,33.5,586.0,32.7,3.6,27.0,23.0,31.79910462,71.10524571
2024-08-22 20:00:00,55.5,33.2,576.0,34.5,4.0,23.0,24.0,31.79910462,71.10524571
2024-08-22 21:00:00,56.7,33.6,572.0,36.5,4.4,18.0,24.0,31.79910462,71.10524571
2024-08-22 22:00:00,57.9,34.2,587.0,40.3,4.6,11.0,24.0,31.79910462,71.10524571
2024-08-22 23:00:00,58.8,34.8,607.0,44.3,4.7,3.0,25.0,31.79910462,71.10524571
2024-08-23 00:00:00,75.9,45.4,742.0,55.1,4.6,0.0,30.0,31.79910462,71.10524571
2024-08-23 01:00:00,72.9,44.4,690.0,44.8,5.3,16.0,28.0,31.79910462,71.10524571
2024-08-23 02:00:00,69.8,43.5,615.0,30.4,6.2,38.0,24.0,31.79910462,71.10524571
2024-08-23 03:00:00,66.8,40.9,544.0,18.3,7.2,64.0,23.0,31.79910462,71.10524571
2024-08-23 04:00:00,62.4,37.0,481.0,10.9,8.3,96.0,25.0,31.79910462,71.10524571
2024-08-23 05:00:00,55.1,30.6,421.0,5.8,9.5,131.0,29.0,31.79910462,71.10524571
2024-08-23 06:00:00,52.7,27.6,372.0,2.4,9.8,156.0,33.0,31.79910462,71.10524571
2024-08-23 07:00:00,52.3,26.5,340.0,0.9,8.7,163.0,36.0,31.79910462,71.10524571
2024-08-23 08:00:00,50.5,25.0,319.0,1.0,6.9,159.0,40.0,31.79910462,71.10524571
2024-08-23 09:00:00,51.6,25.0,304.0,1.4,5.4,155.0,42.0,31.79910462,71.10524571
2024-08-23 10:00:00,50.8,24.6,282.0,0.5,4.7,154.0,43.0,31.79910462,71.10524571
2024-08-23 11:00:00,51.5,24.4,265.0,0.0,4.3,153.0,44.0,31.79910462,71.10524571
2024-08-23 12:00:00,71.2,34.8,281.0,2.7,4.0,138.0,57.0,31.79910462,71.10524571
2024-08-23 13:00:00,71.0,36.3,367.0,10.5,4.4,119.0,54.0,31.79910462,71.10524571
2024-08-23 14:00:00,81.7,44.4,487.0,21.2,5.0,92.0,51.0,31.79910462,71.10524571
2024-08-23 15:00:00,90.1,50.3,581.0,29.2,5.5,70.0,47.0,31.79910462,71.10524571
2024-08-23 16:00:00,90.6,52.0,630.0,31.9,5.8,58.0,44.0,31.79910462,71.10524571
2024-08-23 17:00:00,90.6,52.6,653.0,31.9,6.1,52.0,40.0,31.79910462,71.10524571
2024-08-23 18:00:00,90.3,52.7,656.0,31.1,6.2,47.0,37.0,31.79910462,71.10524571
2024-08-23 19:00:00,85.2,49.9,626.0,29.1,6.1,45.0,34.0,31.79910462,71.10524571
2024-08-23 20:00:00,80.8,47.6,576.0,26.3,5.8,44.0,32.0,31.79910462,71.10524571
2024-08-23 21:00:00,80.3,46.8,543.0,26.3,5.7,42.0,31.0,31.79910462,71.10524571
2024-08-23 22:00:00,82.9,47.6,552.0,32.9,5.8,32.0,34.0,31.79910462,71.10524571
2024-08-23 23:00:00,86.4,49.2,578.0,42.2,6.0,19.0,38.0,31.79910462,71.10524571
2024-08-24 00:00:00,90.3,51.6,630.0,53.0,5.4,4.0,40.0,31.79910462,71.10524571
2024-08-24 01:00:00,87.5,50.9,601.0,42.4,5.6,22.0,37.0,31.79910462,71.10524571
2024-08-24 02:00:00,85.9,51.2,559.0,27.6,5.9,48.0,33.0,31.79910462,71.10524571
2024-08-24 03:00:00,86.6,51.1,511.0,15.5,6.4,76.0,32.0,31.79910462,71.10524571
