date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,latitude,longitude
2024-08-21 00:00:00,26.1,15.2,187.0,8.5,3.0,40.0,14.0,28.58736877,70.51816841
2024-08-21 01:00:00,29.1,15.5,190.0,7.4,3.6,41.0,20.0,28.58736877,70.51816841
2024-08-21 02:00:00,32.8,16.3,193.0,5.9,4.3,43.0,29.0,28.58736877,70.51816841
2024-08-21 03:00:00,36.4,16.5,193.0,4.5,4.8,48.0,38.0,28.58736877,70.51816841
2024-08-21 04:00:00,40.0,17.6,186.0,3.2,4.7,59.0,45.0,28.58736877,70.51816841
2024-08-21 05:00:00,45.5,19.0,174.0,2.1,4.4,73.0,51.0,28.58736877,70.51816841
2024-08-21 06:00:00,46.6,18.4,165.0,1.2,3.9,83.0,61.0,28.58736877,70.51816841
2024-08-21 07:00:00,48.2,16.9,159.0,0.8,3.3,87.0,75.0,28.58736877,70.51816841
2024-08-21 08:00:00,53.7,15.9,156.0,0.8,2.7,87.0,92.0,28.58736877,70.51816841
2024-08-21 09:00:00,61.7,15.8,153.0,0.8,2.2,87.0,112.0,28.58736877,70.51816841
2024-08-21 10:00:00,70.1,15.9,146.0,0.5,1.9,88.0,142.0,28.58736877,70.51816841
2024-08-21 11:00:00,76.6,16.2,141.0,0.2,1.7,88.0,175.0,28.58736877,70.51816841
2024-08-21 12:00:00,104.1,20.8,148.0,1.1,1.8,79.0,212.0,28.58736877,70.51816841
2024-08-21 13:00:00,100.8,19.3,182.0,3.8,1.9,71.0,198.0,28.58736877,70.51816841
2024-08-21 14:00:00,97.1,21.5,230.0,7.5,2.0,60.0,178.0,28.58736877,70.51816841
2024-08-21 15:00:00,93.1,26.3,271.0,10.7,2.2,51.0,158.0,28.58736877,70.51816841
2024-08-21 16:00:00,92.9,28.3,295.0,12.5,2.4,45.0,141.0,28.58736877,70.51816841
2024-08-21 17:00:00,86.6,28.9,311.0,13.8,2.6,41.0,125.0,28.58736877,70.51816841
2024-08-21 18:00:00,80.1,29.4,329.0,15.5,2.9,38.0,109.0,28.58736877,70.51816841
2024-08-21 19:00:00,74.7,30.7,354.0,18.6,3.2,35.0,92.0,28.58736877,70.51816841
2024-08-21 20:00:00,71.7,32.1,380.0,22.2,3.6,33.0,75.0,28.58736877,70.51816841
2024-08-21 21:00:00,67.3,33.1,400.0,24.4,3.9,32.0,60.0,28.58736877,70.51816841
2024-08-21 22:00:00,62.2,33.3,410.0,24.5,4.2,31.0,47.0,28.58736877,70.51816841
2024-08-21 23:00:00,59.5,33.6,413.0,23.3,4.4,32.0,36.0,28.58736877,70.51816841
2024-08-22 00:00:00,53.9,32.5,434.0,30.3,4.0,15.0,24.0,28.58736877,70.51816841
2024-08-22 01:00:00,52.5,32.1,401.0,24.0,4.1,28.0,27.0,28.58736877,70.51816841
2024-08-22 02:00:00,51.6,31.0,353.0,15.3,4.3,47.0,30.0,28.58736877,70.51816841
2024-08-22 03:00:00,51.7,27.9,306.0,8.3,4.4,64.0,34.0,28.58736877,70.51816841
2024-08-22 04:00:00,53.6,25.4,261.0,4.6,4.3,80.0,37.0,28.58736877,70.51816841
2024-08-22 05:00:00,50.2,23.0,216.0,2.5,4.0,94.0,40.0,28.58736877,70.51816841
2024-08-22 06:00:00,45.5,21.0,183.0,1.2,3.7,103.0,44.0,28.58736877,70.51816841
2024-08-22 07:00:00,43.1,19.5,167.0,0.5,3.2,103.0,48.0,28.58736877,70.51816841
2024-08-22 08:00:00,43.5,18.5,163.0,0.6,2.5,97.0,52.0,28.58736877,70.51816841
2024-08-22 09:00:00,45.6,18.1,160.0,0.8,2.0,91.0,57.0,28.58736877,70.51816841
2024-08-22 10:00:00,47.8,17.8,151.0,0.6,1.7,88.0,65.0,28.58736877,70.51816841
2024-08-22 11:00:00,50.4,17.6,145.0,0.4,1.6,85.0,74.0,28.58736877,70.51816841
2024-08-22 12:00:00,54.8,17.6,156.0,1.0,1.7,80.0,85.0,28.58736877,70.51816841
2024-08-22 13:00:00,55.6,18.2,188.0,3.4,2.1,75.0,81.0,28.58736877,70.51816841
2024-08-22 14:00:00,58.2,21.5,234.0,6.8,2.7,68.0,75.0,28.58736877,70.51816841
2024-08-22 15:00:00,59.3,25.3,278.0,9.9,3.3,61.0,67.0,28.58736877,70.51816841
2024-08-22 16:00:00,60.1,27.9,321.0,12.6,3.9,54.0,57.0,28.58736877,70.51816841
2024-08-22 17:00:00,58.2,29.8,362.0,15.1,4.4,46.0,45.0,28.58736877,70.51816841
2024-08-22 18:00:00,55.3,30.3,382.0,16.6,4.7,40.0,35.0,28.58736877,70.51816841
2024-08-22 19:00:00,48.0,27.2,365.0,16.3,4.6,36.0,29.0,28.58736877,70.51816841
2024-08-22 20:00:00,44.5,25.5,328.0,15.1,4.3,34.0,26.0,28.58736877,70.51816841
2024-08-22 21:00:00,43.7,25.0,299.0,14.6,4.0,32.0,24.0,28.58736877,70.51816841
2024-08-22 22:00:00,44.4,25.3,292.0,16.1,3.9,27.0,24.0,28.58736877,70.51816841
2024-08-22 23:00:00,45.2,25.4,294.0,18.4,3.9,21.0,25.0,28.58736877,70.51816841
2024-08-23 00:00:00,42.8,23.1,247.0,14.1,4.0,30.0,29.0,28.58736877,70.51816841
2024-08-23 01:00:00,44.4,23.2,244.0,12.1,4.3,39.0,35.0,28.58736877,70.51816841
2024-08-23 02:00:00,48.7,24.7,239.0,9.2,4.6,53.0,44.0,28.58736877,70.51816841
2024-08-23 03:00:00,53.8,25.3,232.0,6.6,5.1,67.0,50.0,28.58736877,70.51816841
2024-08-23 04:00:00,55.9,25.0,221.0,4.5,5.8,84.0,51.0,28.58736877,70.51816841
2024-08-23 05:00:00,54.1,24.5,207.0,2.7,6.7,101.0,50.0,28.58736877,70.51816841
2024-08-23 06:00:00,50.4,22.8,195.0,1.4,6.9,113.0,50.0,28.58736877,70.51816841
2024-08-23 07:00:00,50.8,22.1,184.0,0.8,6.0,113.0,52.0,28.58736877,70.51816841
2024-08-23 08:00:00,48.7,20.7,174.0,0.7,4.4,107.0,56.0,28.58736877,70.51816841
2024-08-23 09:00:00,48.8,19.4,170.0,0.9,3.3,103.0,59.0,28.58736877,70.51816841
2024-08-23 10:00:00,55.4,20.8,172.0,1.1,3.1,104.0,62.0,28.58736877,70.51816841
2024-08-23 11:00:00,72.4,26.3,180.0,1.6,3.3,107.0,64.0,28.58736877,70.51816841
2024-08-23 12:00:00,62.2,28.6,199.0,2.5,4.3,116.0,60.0,28.58736877,70.51816841
2024-08-23 13:00:00,63.1,30.6,212.0,3.3,4.3,113.0,53.0,28.58736877,70.51816841
2024-08-23 14:00:00,58.3,30.3,232.0,4.5,4.2,108.0,44.0,28.58736877,70.51816841
2024-08-23 15:00:00,57.2,30.7,252.0,5.8,4.2,103.0,38.0,28.58736877,70.51816841
2024-08-23 16:00:00,59.0,32.2,274.0,7.1,4.3,98.0,40.0,28.58736877,70.51816841
2024-08-23 17:00:00,62.9,32.8,297.0,8.5,4.4,92.0,45.0,28.58736877,70.51816841
2024-08-23 18:00:00,65.9,34.0,314.0,9.9,4.5,87.0,49.0,28.58736877,70.51816841
2024-08-23 19:00:00,67.5,34.1,320.0,11.2,4.5,82.0,50.0,28.58736877,70.51816841
2024-08-23 20:00:00,67.5,33.9,321.0,12.6,4.4,77.0,51.0,28.58736877,70.51816841
2024-08-23 21:00:00,66.1,33.8,325.0,14.3,4.4,71.0,50.0,28.58736877,70.51816841
2024-08-23 22:00:00,64.3,33.4,343.0,17.3,4.4,62.0,47.0,28.58736877,70.51816841
