date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,latitude,longitude
2024-08-21 00:00:00,48.1,30.2,379.0,8.4,10.4,79.0,17.0,31.50343566,72.38246159
2024-08-21 01:00:00,46.7,29.2,358.0,8.1,10.0,78.0,22.0,31.50343566,72.38246159
2024-08-21 02:00:00,48.5,28.5,329.0,7.7,9.4,76.0,29.0,31.50343566,72.38246159
2024-08-21 03:00:00,50.3,27.7,300.0,6.9,8.6,78.0,34.0,31.50343566,72.38246159
2024-08-21 04:00:00,46.8,25.7,272.0,5.4,7.4,87.0,37.0,31.50343566,72.38246159
2024-08-21 05:00:00,44.6,22.6,244.0,3.4,6.1,99.0,39.0,31.50343566,72.38246159
2024-08-21 06:00:00,44.4,21.8,225.0,2.0,4.9,109.0,40.0,31.50343566,72.38246159
2024-08-21 07:00:00,41.7,20.9,219.0,1.4,4.0,116.0,38.0,31.50343566,72.38246159
2024-08-21 08:00:00,40.6,20.7,222.0,1.3,3.4,122.0,35.0,31.50343566,72.38246159
2024-08-21 09:00:00,40.0,20.7,223.0,1.3,2.8,125.0,32.0,31.50343566,72.38246159
2024-08-21 10:00:00,39.0,20.5,214.0,1.1,2.3,125.0,31.0,31.50343566,72.38246159
2024-08-21 11:00:00,38.9,20.4,203.0,1.0,1.9,122.0,32.0,31.50343566,72.38246159
2024-08-21 12:00:00,44.2,22.1,230.0,3.1,2.2,113.0,38.0,31.50343566,72.38246159
2024-08-21 13:00:00,47.0,23.6,308.0,7.8,2.6,100.0,37.0,31.50343566,72.38246159
2024-08-21 14:00:00,54.2,30.0,419.0,14.5,3.2,82.0,35.0,31.50343566,72.38246159
2024-08-21 15:00:00,66.1,38.1,528.0,20.6,3.7,66.0,34.0,31.50343566,72.38246159
2024-08-21 16:00:00,75.4,44.5,638.0,25.5,4.3,53.0,35.0,31.50343566,72.38246159
2024-08-21 17:00:00,82.0,48.7,746.0,29.8,4.8,41.0,36.0,31.50343566,72.38246159
2024-08-21 18:00:00,85.2,50.8,804.0,32.4,5.1,32.0,37.0,31.50343566,72.38246159
2024-08-21 19:00:00,82.7,49.1,780.0,32.3,5.0,28.0,35.0,31.50343566,72.38246159
2024-08-21 20:00:00,76.6,45.5,706.0,30.5,4.6,27.0,33.0,31.50343566,72.38246159
