date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,latitude,longitude
2024-08-21 00:00:00,49.9,30.6,343.0,6.9,11.7,88.0,21.0,31.9027348,73.01167741
2024-08-21 01:00:00,49.2,30.2,354.0,7.8,11.6,88.0,23.0,31.9027348,73.01167741
2024-08-21 02:00:00,52.9,32.2,369.0,9.0,11.5,88.0,25.0,31.9027348,73.01167741
2024-08-21 03:00:00,56.7,33.5,371.0,9.3,11.2,92.0,28.0,31.9027348,73.01167741
2024-08-21 04:00:00,57.3,32.5,349.0,7.7,10.5,104.0,32.0,31.9027348,73.01167741
2024-08-21 05:00:00,55.3,30.3,314.0,5.2,9.6,119.0,37.0,31.9027348,73.01167741
2024-08-21 06:00:00,52.3,27.4,286.0,3.2,8.7,132.0,39.0,31.9027348,73.01167741
2024-08-21 07:00:00,49.2,26.4,272.0,2.4,7.7,140.0,37.0,31.9027348,73.01167741
2024-08-21 08:00:00,45.5,24.6,264.0,2.2,6.6,145.0,32.0,31.9027348,73.01167741
2024-08-21 09:00:00,43.0,23.4,261.0,2.3,5.8,148.0,28.0,31.9027348,73.01167741
2024-08-21 10:00:00,41.8,23.0,244.0,1.8,5.2,152.0,28.0,31.9027348,73.01167741
2024-08-21 11:00:00,42.6,23.4,231.0,1.6,4.9,153.0,29.0,31.9027348,73.01167741
2024-08-21 12:00:00,41.6,23.2,288.0,4.8,6.9,151.0,24.0,31.9027348,73.01167741
2024-08-21 13:00:00,44.5,25.9,452.0,15.4,7.4,129.0,22.0,31.9027348,73.01167741
2024-08-21 14:00:00,57.0,35.7,683.0,30.0,8.0,99.0,20.0,31.9027348,73.01167741
2024-08-21 15:00:00,74.3,47.6,893.0,41.7,8.6,73.0,18.0,31.9027348,73.01167741
2024-08-21 16:00:00,87.3,56.5,1060.0,47.6,9.0,57.0,18.0,31.9027348,73.01167741
2024-08-21 17:00:00,95.2,61.9,1205.0,50.6,9.4,46.0,20.0,31.9027348,73.01167741
2024-08-21 18:00:00,98.5,64.0,1304.0,52.0,9.5,37.0,21.0,31.9027348,73.01167741
2024-08-21 19:00:00,98.5,63.6,1347.0,52.4,9.3,30.0,22.0,31.9027348,73.01167741
2024-08-21 20:00:00,99.2,63.6,1345.0,51.2,8.8,27.0,23.0,31.9027348,73.01167741
2024-08-21 21:00:00,97.1,61.9,1305.0,48.0,8.3,25.0,24.0,31.9027348,73.01167741
2024-08-21 22:00:00,89.6,57.3,1215.0,41.6,7.9,24.0,24.0,31.9027348,73.01167741
2024-08-21 23:00:00,84.5,53.7,1088.0,33.3,7.4,26.0,24.0,31.9027348,73.01167741
2024-08-22 00:00:00,91.5,54.9,1089.0,34.5,7.0,34.0,39.0,31.9027348,73.01167741
2024-08-22 01:00:00,85.9,51.0,951.0,28.2,7.4,51.0,42.0,31.9027348,73.01167741
2024-08-22 02:00:00,84.5,49.1,757.0,19.4,7.9,76.0,45.0,31.9027348,73.01167741
2024-08-22 03:00:00,74.5,40.9,591.0,12.1,8.3,99.0,47.0,31.9027348,73.01167741
2024-08-22 04:00:00,65.4,34.0,480.0,7.7,8.6,120.0,45.0,31.9027348,73.01167741
2024-08-22 05:00:00,59.4,30.7,395.0,4.8,8.8,140.0,41.0,31.9027348,73.01167741
2024-08-22 06:00:00,53.4,27.8,336.0,2.8,8.7,155.0,39.0,31.9027348,73.01167741
2024-08-22 07:00:00,51.3,26.5,307.0,1.8,8.2,162.0,40.0,31.9027348,73.01167741
2024-08-22 08:00:00,51.9,26.0,303.0,1.9,7.4,164.0,42.0,31.9027348,73.01167741
2024-08-22 09:00:00,53.6,26.4,305.0,2.3,6.8,165.0,44.0,31.9027348,73.01167741
2024-08-22 10:00:00,55.9,27.1,286.0,1.7,6.3,168.0,46.0,31.9027348,73.01167741
2024-08-22 11:00:00,58.1,28.0,274.0,1.5,6.0,169.0,48.0,31.9027348,73.01167741
2024-08-22 12:00:00,78.0,34.7,315.0,4.8,5.3,152.0,81.0,31.9027348,73.01167741
2024-08-22 13:00:00,79.6,38.5,440.0,12.2,5.4,129.0,72.0,31.9027348,73.01167741
2024-08-22 14:00:00,82.9,45.4,611.0,22.3,5.4,97.0,59.0,31.9027348,73.01167741
2024-08-22 15:00:00,87.3,49.4,726.0,28.8,5.5,73.0,48.0,31.9027348,73.01167741
2024-08-22 16:00:00,95.7,54.5,738.0,28.2,5.5,66.0,42.0,31.9027348,73.01167741
2024-08-22 17:00:00,93.8,53.9,695.0,24.0,5.5,69.0,38.0,31.9027348,73.01167741
2024-08-22 18:00:00,73.6,43.5,639.0,19.9,5.5,71.0,35.0,31.9027348,73.01167741
2024-08-22 19:00:00,58.0,34.6,574.0,17.0,5.6,71.0,32.0,31.9027348,73.01167741
2024-08-22 20:00:00,55.3,33.6,496.0,14.1,5.6,72.0,30.0,31.9027348,73.01167741
2024-08-22 21:00:00,56.3,32.9,433.0,11.8,5.6,73.0,30.0,31.9027348,73.01167741
2024-08-22 22:00:00,53.8,31.9,396.0,10.1,5.3,73.0,33.0,31.9027348,73.01167741
2024-08-22 23:00:00,57.6,31.3,374.0,8.9,5.0,73.0,37.0,31.9027348,73.01167741
2024-08-23 00:00:00,63.3,37.8,548.0,14.2,6.4,47.0,27.0,31.9027348,73.01167741
2024-08-23 01:00:00,65.7,38.9,539.0,13.5,6.7,53.0,28.0,31.9027348,73.01167741
2024-08-23 02:00:00,66.8,38.8,526.0,12.4,7.1,62.0,30.0,31.9027348,73.01167741
2024-08-23 03:00:00,66.4,38.3,503.0,10.9,7.6,78.0,33.0,31.9027348,73.01167741
2024-08-23 04:00:00,68.7,38.6,464.0,8.4,8.3,105.0,39.0,31.9027348,73.01167741
2024-08-23 05:00:00,72.9,38.9,416.0,5.4,9.1,139.0,46.0,31.9027348,73.01167741
2024-08-23 06:00:00,71.7,36.6,379.0,3.2,9.6,164.0,52.0,31.9027348,73.01167741
2024-08-23 07:00:00,72.2,35.3,361.0,2.3,9.6,175.0,55.0,31.9027348,73.01167741
2024-08-23 08:00:00,72.9,35.6,353.0,2.2,9.3,178.0,56.0,31.9027348,73.01167741
2024-08-23 09:00:00,72.9,35.7,349.0,2.4,8.9,178.0,57.0,31.9027348,73.01167741
2024-08-23 10:00:00,71.7,34.9,321.0,1.3,8.2,180.0,58.0,31.9027348,73.01167741
2024-08-23 11:00:00,71.9,34.7,296.0,0.6,7.5,180.0,58.0,31.9027348,73.01167741
2024-08-23 12:00:00,99.9,49.6,359.0,5.4,8.2,171.0,76.0,31.9027348,73.01167741
2024-08-23 13:00:00,105.5,53.6,587.0,19.7,9.1,147.0,76.0,31.9027348,73.01167741
2024-08-23 14:00:00,124.8,67.8,905.0,39.4,10.3,114.0,75.0,31.9027348,73.01167741
2024-08-23 15:00:00,145.8,82.4,1162.0,53.6,11.2,86.0,72.0,31.9027348,73.01167741
2024-08-23 16:00:00,164.4,95.7,1311.0,57.8,11.4,70.0,63.0,31.9027348,73.01167741
2024-08-23 17:00:00,167.2,100.4,1400.0,56.5,11.2,60.0,52.0,31.9027348,73.01167741
2024-08-23 18:00:00,143.4,88.0,1425.0,53.0,11.0,54.0,43.0,31.9027348,73.01167741
2024-08-23 19:00:00,129.9,80.1,1357.0,47.2,10.8,51.0,39.0,31.9027348,73.01167741
2024-08-23 20:00:00,128.1,78.5,1225.0,39.2,10.6,52.0,38.0,31.9027348,73.01167741
2024-08-23 21:00:00,126.2,77.3,1106.0,32.4,10.3,52.0,37.0,31.9027348,73.01167741
2024-08-23 22:00:00,123.4,75.7,1036.0,28.3,9.7,47.0,34.0,31.9027348,73.01167741
2024-08-23 23:00:00,120.1,73.8,980.0,25.5,9.1,42.0,31.0,31.9027348,73.01167741
2024-08-24 00:00:00,94.5,60.1,751.0,18.6,8.5,46.0,20.0,31.9027348,73.01167741
2024-08-24 01:00:00,86.1,53.4,688.0,17.0,9.0,52.0,21.0,31.9027348,73.01167741
2024-08-24 02:00:00,80.3,50.3,600.0,14.7,9.8,62.0,22.0,31.9027348,73.01167741
2024-08-24 03:00:00,78.5,48.5,524.0,12.2,10.5,79.0,24.0,31.9027348,73.01167741
2024-08-24 04:00:00,78.0,47.4,473.0,9.3,11.1,108.0,28.0,31.9027348,73.01167741
2024-08-24 05:00:00,80.1,47.8,433.0,6.2,11.6,144.0,32.0,31.9027348,73.01167741
2024-08-24 06:00:00,79.2,45.5,402.0,3.9,11.8,172.0,37.0,31.9027348,73.01167741
2024-08-24 07:00:00,79.6,43.9,379.0,2.8,11.5,184.0,42.0,31.9027348,73.01167741
2024-08-24 08:00:00,83.1,44.8,364.0,2.5,10.8,188.0,48.0,31.9027348,73.01167741
2024-08-24 09:00:00,86.4,45.9,356.0,2.6,10.2,189.0,53.0,31.9027348,73.01167741
2024-08-24 10:00:00,89.4,46.3,329.0,1.5,9.7,193.0,57.0,31.9027348,73.01167741
2024-08-24 11:00:00,90.3,46.9,309.0,0.9,9.2,195.0,60.0,31.9027348,73.01167741
2024-08-24 12:00:00,79.4,40.5,352.0,5.3,7.7,184.0,55.0,31.9027348,73.01167741
2024-08-24 13:00:00,87.3,44.8,550.0,17.4,8.7,162.0,57.0,31.9027348,73.01167741
2024-08-24 14:00:00,105.2,57.6,826.0,34.2,10.0,131.0,58.0,31.9027348,73.01167741
2024-08-24 15:00:00,126.7,72.9,1057.0,46.5,10.9,104.0,58.0,31.9027348,73.01167741
2024-08-24 16:00:00,145.3,85.9,1205.0,50.5,11.1,84.0,53.0,31.9027348,73.01167741
2024-08-24 17:00:00,151.3,91.7,1308.0,50.1,10.9,68.0,46.0,31.9027348,73.01167741
