date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,latitude,longitude
2024-08-21 00:00:00,32.4,17.0,206.0,14.5,3.2,27.0,26.0,28.28756538,69.66690763
2024-08-21 01:00:00,33.5,17.3,205.0,12.3,3.1,29.0,32.0,28.28756538,69.66690763
2024-08-21 02:00:00,36.4,17.3,204.0,9.2,3.1,33.0,41.0,28.28756538,69.66690763
2024-08-21 03:00:00,42.1,18.2,200.0,6.5,4.4,42.0,49.0,28.28756538,69.66690763
2024-08-21 04:00:00,47.5,19.6,191.0,4.7,8.4,59.0,55.0,28.28756538,69.66690763
2024-08-21 05:00:00,52.7,21.6,179.0,3.4,13.6,80.0,59.0,28.28756538,69.66690763
2024-08-21 06:00:00,51.7,22.3,169.0,2.4,16.8,97.0,60.0,28.28756538,69.66690763
2024-08-21 07:00:00,47.1,20.7,163.0,1.8,16.0,104.0,55.0,28.28756538,69.66690763
2024-08-21 08:00:00,42.8,19.4,159.0,1.6,13.3,107.0,48.0,28.28756538,69.66690763
2024-08-21 09:00:00,39.8,18.5,157.0,1.5,11.3,108.0,41.0,28.28756538,69.66690763
2024-08-21 10:00:00,37.7,18.0,150.0,1.1,11.3,111.0,38.0,28.28756538,69.66690763
2024-08-21 11:00:00,38.3,17.9,145.0,0.9,12.1,113.0,36.0,28.28756538,69.66690763
2024-08-21 12:00:00,43.4,19.4,151.0,2.3,11.1,99.0,47.0,28.28756538,69.66690763
2024-08-21 13:00:00,41.7,19.2,193.0,6.5,10.8,86.0,42.0,28.28756538,69.66690763
2024-08-21 14:00:00,43.5,23.0,252.0,12.3,10.3,69.0,36.0,28.28756538,69.66690763
2024-08-21 15:00:00,48.2,26.6,296.0,16.2,9.5,56.0,31.0,28.28756538,69.66690763
2024-08-21 16:00:00,46.1,26.3,312.0,16.5,8.0,53.0,28.0,28.28756538,69.66690763
2024-08-21 17:00:00,47.5,27.4,314.0,15.0,6.2,55.0,26.0,28.28756538,69.66690763
2024-08-21 18:00:00,45.1,26.2,313.0,13.7,4.8,56.0,25.0,28.28756538,69.66690763
2024-08-21 19:00:00,44.9,26.2,313.0,13.5,4.0,55.0,24.0,28.28756538,69.66690763
2024-08-21 20:00:00,45.2,26.5,310.0,13.5,3.7,54.0,23.0,28.28756538,69.66690763
2024-08-21 21:00:00,44.6,26.5,307.0,13.5,3.4,52.0,22.0,28.28756538,69.66690763
2024-08-21 22:00:00,43.9,26.3,304.0,13.5,3.1,49.0,20.0,28.28756538,69.66690763
2024-08-21 23:00:00,43.2,26.3,301.0,13.5,3.0,46.0,17.0,28.28756538,69.66690763
2024-08-22 00:00:00,46.9,28.1,379.0,27.8,3.4,22.0,21.0,28.28756538,69.66690763
2024-08-22 01:00:00,47.1,28.2,359.0,22.6,4.0,34.0,25.0,28.28756538,69.66690763
2024-08-22 02:00:00,49.8,29.6,329.0,15.3,5.0,50.0,31.0,28.28756538,69.66690763
