date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,latitude,longitude
2024-08-21 00:00:00,82.4,17.8,138.0,6.2,1.4,29.0,165.0,29.08648636,72.4937975
2024-08-21 01:00:00,84.5,17.5,139.0,4.9,1.4,37.0,156.0,29.08648636,72.4937975
2024-08-21 02:00:00,70.3,16.8,140.0,3.1,1.4,48.0,143.0,29.08648636,72.4937975
2024-08-21 03:00:00,68.2,15.6,141.0,1.7,1.4,59.0,131.0,29.08648636,72.4937975
2024-08-21 04:00:00,65.2,14.8,141.0,1.0,1.4,68.0,119.0,29.08648636,72.4937975
2024-08-21 05:00:00,64.3,14.0,141.0,0.6,1.4,76.0,108.0,29.08648636,72.4937975
2024-08-21 06:00:00,53.9,13.1,140.0,0.4,1.4,81.0,99.0,29.08648636,72.4937975
2024-08-21 07:00:00,54.9,12.6,139.0,0.3,1.3,81.0,97.0,29.08648636,72.4937975
2024-08-21 08:00:00,55.3,12.4,138.0,0.3,1.2,79.0,97.0,29.08648636,72.4937975
2024-08-21 09:00:00,50.4,12.2,137.0,0.3,1.2,77.0,93.0,29.08648636,72.4937975
2024-08-21 10:00:00,43.5,11.8,137.0,0.2,1.2,78.0,80.0,29.08648636,72.4937975
2024-08-21 11:00:00,37.7,11.7,137.0,0.1,1.3,79.0,63.0,29.08648636,72.4937975
2024-08-21 12:00:00,50.1,14.4,138.0,0.4,1.5,75.0,83.0,29.08648636,72.4937975
2024-08-21 13:00:00,44.5,14.5,143.0,1.2,1.6,70.0,68.0,29.08648636,72.4937975
2024-08-21 14:00:00,36.7,14.9,150.0,2.4,1.7,63.0,48.0,29.08648636,72.4937975
2024-08-21 15:00:00,32.9,15.1,157.0,3.7,1.9,56.0,32.0,29.08648636,72.4937975
2024-08-21 16:00:00,31.0,15.5,163.0,4.9,2.0,51.0,23.0,29.08648636,72.4937975
2024-08-21 17:00:00,29.4,15.7,170.0,6.1,2.2,46.0,19.0,29.08648636,72.4937975
2024-08-21 18:00:00,28.5,15.9,181.0,7.5,2.4,41.0,16.0,29.08648636,72.4937975
2024-08-21 19:00:00,28.6,16.5,200.0,9.3,2.7,37.0,15.0,29.08648636,72.4937975
2024-08-21 20:00:00,30.7,17.9,223.0,11.3,3.1,33.0,15.0,29.08648636,72.4937975
